事件代碼,事件名稱,年度,開始時間,結束時間,已下載時段,最後更新時間,狀態
T9803,蓮花颱風OLD,2009,2009/06/18 14:05,2009/06/18 15:05,"事件總累計,連續1小時",2026-09-11 09:44:44,已下載
T0815,薔蜜颱風,2008,2008/09/27 21:05,2008/09/28 21:05,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:47,已下載
T0814,哈格比颱風,2008,2008/09/22 08:50,2008/09/23 08:50,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:49,已下載
T0813,辛樂克颱風,2008,2008/09/14 13:30,2008/09/15 13:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:44:53,已下載
T0013,辛樂克,2008,2008/09/10 19:30,2008/09/11 07:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:44:56,已下載
T0835,豪拉颱風,2008,2008/08/27 14:30,2008/08/27 20:30,"事件總累計,連續1小時,連續3小時,連續6小時",2026-09-11 09:44:57,已下載
T0812,如麗颱風,2008,2008/08/19 10:55,2008/08/20 10:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:00,已下載
T0808,鳳凰颱風,2008,2008/07/28 06:05,2008/07/29 06:05,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:01,已下載
T0807,卡玫基颱風,2008,2008/07/17 15:05,2008/07/18 15:05,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:03,已下載
R00033,2008_0627豪雨,2008,2008/06/27 17:55,2008/06/28 17:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:05,已下載
T0806,風神颱風,2008,2008/06/26 09:45,2008/06/27 09:45,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:08,已下載
T0723,米塔颱風,2007,2007/11/25 17:50,2007/11/26 17:50,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:10,已下載
T0715,柯羅莎颱風,2007,2007/10/06 07:00,2007/10/07 07:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:12,已下載
T0712,韋帕颱風,2007,2007/09/17 20:15,2007/09/18 20:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:15,已下載
T0708,聖帕颱風,2007,2007/08/18 07:35,2007/08/19 07:35,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:17,已下載
R00023,2007_0809豪雨,2007,2007/08/13 00:35,2007/08/14 00:35,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:19,已下載
T0707,梧提颱風,2007,2007/08/08 22:55,2007/08/09 10:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:45:21,已下載
T0706,帕布颱風,2007,2007/08/07 11:55,2007/08/08 11:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:23,已下載
T0703,萬壽颱風,2007,2007/07/03 18:25,2007/07/04 18:25,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:25,已下載
R00022,2007_0604豪雨,2007,2007/06/08 13:00,2007/06/09 13:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:27,已下載
T0613,珊珊颱風,2006,2006/09/15 13:10,2006/09/16 13:10,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:38,已下載
T0608,桑美颱風,2006,2006/08/09 17:45,2006/08/10 17:45,"連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:40,已下載
T0609,寶發颱風,2006,2006/08/08 19:15,2006/08/09 19:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:42,已下載
T0605,凱米颱風,2006,2006/07/24 19:30,2006/07/25 19:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:44,已下載
T0604,碧利斯颱風,2006,2006/07/14 00:40,2006/07/15 00:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:46,已下載
T0603,艾維尼颱風,2006,2006/07/08 15:15,2006/07/09 15:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:48,已下載
R00013,2006_0526豪雨,2006,2006/06/09 13:35,2006/06/10 13:35,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:50,已下載
T0601,珍珠颱風,2006,2006/05/17 01:00,2006/05/18 01:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:53,已下載
T0519,龍王颱風,2005,2005/10/01 17:50,2005/10/02 17:50,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:55,已下載
T0518,丹瑞颱風,2005,2005/09/22 04:15,2005/09/23 04:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:57,已下載
T0515,卡努颱風,2005,2005/09/10 09:45,2005/09/11 09:45,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:45:59,已下載
T0513,泰利颱風,2005,2005/08/31 19:30,2005/09/01 19:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:01,已下載
T0510,珊瑚颱風,2005,2005/08/12 04:20,2005/08/13 04:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:03,已下載
T0509,馬莎颱風,2005,2005/08/04 09:05,2005/08/05 09:05,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:05,已下載
T0505,海棠颱風,2005,2005/07/18 11:15,2005/07/19 11:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:14,已下載
T0427,南瑪都颱風,2004,2004/12/03 02:20,2004/12/04 02:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:16,已下載
T0424,納坦颱風,2004,2004/10/24 11:35,2004/10/25 11:35,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:18,已下載
T0421,米雷颱風,2004,2004/09/26 00:55,2004/09/27 00:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:20,已下載
T0420,海馬颱風,2004,2004/09/12 03:00,2004/09/12 15:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:46:22,已下載
T0417,艾利颱風,2004,2004/08/24 09:10,2004/08/25 09:10,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:24,已下載
T0413,蘭寧颱風,2004,2004/08/11 09:50,2004/08/12 09:50,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:26,已下載
T0409,康伯斯颱風,2004,2004/07/14 09:30,2004/07/15 09:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:28,已下載
T0407,敏督利颱風,2004,2004/07/04 00:05,2004/07/05 00:05,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:30,已下載
T0404,康森颱風,2004,2004/06/09 04:55,2004/06/10 04:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:32,已下載
T0020,象神颱風,2000,2000/10/31 06:30,2000/11/01 06:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:34,已下載
T0019,雅吉颱風,2000,2000/10/25 08:20,2000/10/26 08:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:36,已下載
T0015,寶發颱風,2000,2000/09/09 13:00,2000/09/10 13:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:37,已下載
T0012,巴比侖颱風,2000,2000/08/28 15:00,2000/08/29 15:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:39,已下載
T0010,碧利斯颱風,2000,2000/08/22 15:00,2000/08/23 15:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:41,已下載
T0008,杰拉華颱風,2000,2000/08/09 16:00,2000/08/10 16:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:43,已下載
T0004,啟德颱風,2000,2000/07/08 14:30,2000/07/09 14:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:45,已下載
T9920,丹恩颱風,1999,1999/10/05 01:00,1999/10/06 01:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:46,已下載
T9906,瑪姬颱風,1999,1999/06/05 22:00,1999/06/06 22:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:46:48,已下載
